Question,emotion_label,valence_label,audio_path,response_text,ground_truth_label,category
Should I attend the party?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/492_angry_negative.wav,"If attending will cause more frustration, it might be better to skip it.",,relationships
Is switching careers realistic for me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/493_angry_negative.wav,"It is realistic, depending on your skills and goals.",,career
Is it worth taking that online course?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/494_angry_negative.wav,Evaluating if that specific course is worthwhile depends on your goals and the content it offers.,,education
Is technology making life better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/495_angry_negative.wav,"Technology arguably makes some things easier, but also creates new challenges.",,technology
Should I start working on my project now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/496_angry_negative.wav,Starting now might help get it done sooner.,,productivity
Can I focus with all these notifications?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/497_angry_negative.wav,It is difficult to concentrate with constant interruptions.,,technology
Should I go for a walk now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/498_angry_negative.wav,A walk could help clear your head.,,health_fitness
Is today going to be a good day?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/499_angry_negative.wav,"Today has the potential to be a good day, depending on how you approach it.",,motivation
Is it worth cooking at home tonight?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/500_angry_negative.wav,Cooking at home might help you relax and save money.,,health_fitness
Is it a good time to budget?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/501_sad_negative.wav,It's always a good time to start budgeting to regain control.,neutral,finance
Is today going to be a good day?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/502_sad_negative.wav,I hope some peaceful moments find you today.,neutral,motivation
Should I study tonight?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/503_sad_negative.wav,You should take it easy and rest tonight.,neutral,education
Should I cut my expenses?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/504_sad_negative.wav,Reducing spending expenses can offer financial relief and peace of mind.,neutral,finance
Is it worth planning my day?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/505_sad_negative.wav,"Planning your day can provide a helpful sense of control and accomplishment, even when you're feeling down.",positive,productivity
Is buying a new laptop a good idea?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/506_sad_negative.wav,"Getting a new laptop might bring a small bit of joy, depending on your needs.",neutral,finance
Should I start exercising?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/507_sad_negative.wav,Starting regular exercise can greatly benefit your overall mood and physical health. This is not medical advice or a diagnosis; please see a healthcare professional or seek care.,neutral,health_fitness
Do you think I can achieve my goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/508_sad_negative.wav,"Yes, with persistent effort and belief in yourself, you definitely can.",positive,motivation
Is it worth making a to-do list?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/509_sad_negative.wav,Creating a list can help bring some order to your thoughts and make things feel less overwhelming.,neutral,time_management
Is it worth resolving this conflict?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/510_sad_negative.wav,Trying to resolve it could be worthwhile for finding peace.,neutral,relationships
Should I go for a walk now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/511_sad_negative.wav,A gentle walk outside could be a good idea for you.,neutral,health_fitness
Is time-blocking effective?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/512_sad_negative.wav,"Yes, it can be a very effective way to manage your time and reduce stress.",positive,time_management
Will it rain later?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/513_sad_negative.wav,"I don't know for certain, but there's a chance later.",negative,weather
Can I manage my time better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/514_sad_negative.wav,"Yes, you can definitely make progress on that.",positive,time_management
Can I hit my deadline?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/515_sad_negative.wav,"You absolutely can, and we can make a plan right now.",neutral,productivity
Should I text my friend today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/516_sad_negative.wav,Reaching out to your friend when you're feeling down could be a good idea.,neutral,relationships
Should I take an umbrella today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/517_sad_negative.wav,"Given your tone, taking an umbrella might be a good precaution to avoid getting wet.",neutral,weather
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/518_sad_negative.wav,"You are bravely navigating life's challenges, and that shows incredible strength.",positive,motivation
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/519_sad_negative.wav,Your journey has value and you're doing better than you might realize right now.,neutral,motivation
Should I use a calendar for tasks?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/520_sad_negative.wav,Using a calendar can definitely help organize your day and reduce stress.,neutral,time_management
Do you think I can achieve my goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/521_sad_negative.wav,I absolutely believe that you have the capacity to achieve your goals.,positive,motivation
Can I learn a new skill this week?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/522_sad_negative.wav,"Yes, you can definitely learn something new this week.",neutral,education
What's the weather like today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/523_sad_negative.wav,"I'm not sure where you are, but I hope it clears up soon.",negative,weather
Is social media worth my time?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/524_sad_negative.wav,"It truly depends on how it makes you feel, sometimes it's not.",negative,technology
Can I manage my time better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/525_sad_negative.wav,"Yes, with small, consistent steps, you can make progress.",neutral,time_management
Do you think I can achieve my goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/526_sad_negative.wav,"You have the power to achieve your goals, and I truly believe in you.",neutral,motivation
Is it worth planning my day?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/527_sad_negative.wav,"Even when things feel hard, planning can provide small goals and a sense of control.",negative,productivity
Is learning to code useful for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/528_sad_negative.wav,"Learning to code can open up creative and career opportunities, potentially cheering you up.",neutral,technology
Can I make new friends easily?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/529_sad_negative.wav,"While making new friends can take time, showing genuine interest and being open to connection can help.",neutral,relationships
Should I cut my expenses?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/530_sad_negative.wav,"Yes, reducing your spending could ease some financial pressure.",neutral,finance
What's the weather like today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/531_sad_negative.wav,"I'm sorry, I don't know where you are to check the weather for you.",neutral,weather
Should I cut my expenses?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/532_sad_negative.wav,It might be helpful to review your finances right now if you're feeling down.,negative,finance
Is switching careers realistic for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/533_sad_negative.wav,"It's understandable to feel sad, but a career switch can be realistic with the right plan.",neutral,career
Will I be productive today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/534_sad_negative.wav,Your productivity today depends entirely on the actions you choose to take.,neutral,productivity
Should I text my friend today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/535_sad_negative.wav,Reaching out to a friend can sometimes help when you're feeling down.,neutral,relationships
Should I text my friend today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/536_sad_negative.wav,Connecting with them might help lift your spirits.,neutral,relationships
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/537_sad_negative.wav,"Your value is not defined by single moments, and you are capable of navigating challenges.",neutral,motivation
Is it worth cooking at home tonight?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/538_sad_negative.wav,Cooking at home can be a comforting way to care for yourself.,neutral,health_fitness
Can I manage my time better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/539_sad_negative.wav,"Yes, you can manage your time better with simple strategies like creating a daily schedule.",positive,time_management
Is buying a new laptop a good idea?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/540_sad_negative.wav,"Buying a new laptop can certainly have its benefits, depending on your current situation and needs.",neutral,finance
Should I keep trying?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/541_sad_negative.wav,"Your persistence is valuable, but it's also okay to rest and reflect.",neutral,motivation
Should I wake up early tomorrow?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/542_sad_negative.wav,Waking up early might give you a gentle start to the day.,neutral,time_management
Is buying a new laptop a good idea?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/543_sad_negative.wav,"While a new laptop might help, focusing on what's causing your sadness might be more beneficial right now.",neutral,finance
Should I go for a walk now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/544_sad_negative.wav,A gentle walk could definitely help clear your mind and lift your spirits right now.,negative,health_fitness
Should I wake up early tomorrow?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/545_sad_negative.wav,Waking up early might give you a gentle start to the day.,neutral,time_management
How hot will it get this afternoon?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/546_sad_negative.wav,"I'm sorry, I don't have weather information right now.",negative,weather
Is it a good idea to apologise?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/547_sad_negative.wav,Offering a sincere apology can often help mend relationships and bring comfort.,neutral,relationships
Should I start working on my project now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/548_sad_negative.wav,"Starting now could help take your mind off things, if you feel up to it.",positive,productivity
Is learning to code useful for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/549_sad_negative.wav,"Yes, learning to code can be incredibly useful, opening up new opportunities and ways of thinking.",positive,technology
Is it worth making a to-do list?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/550_sad_negative.wav,"Yes, writing things down can bring a little clarity and make you feel more in control.",positive,time_management
Do you think I can pass this test?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/551_sad_negative.wav,"With dedicated effort and belief in yourself, passing is definitely possible.",neutral,education
Can I stick to a healthy diet?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/552_sad_negative.wav,"Yes, establishing manageable goals and finding supportive resources can help you succeed. This information is not medical advice or a diagnosis; please see a healthcare professional for care.",neutral,health_fitness
Is social media worth my time?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/553_sad_negative.wav,Whether social media is worth your time truly depends on how it makes you feel and what you gain from it.,positive,technology
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/554_sad_negative.wav,"Your value and progress aren't defined by a single moment, and you're doing your best.",positive,motivation
Do you think I can pass this test?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/555_sad_negative.wav,"With dedicated effort, I believe you absolutely can pass it.",neutral,education
Should I cut my expenses?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/556_sad_negative.wav,Reducing spending could help ease some financial pressure if you're feeling down about it.,neutral,finance
Is buying a new laptop a good idea?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/557_sad_negative.wav,"Buying a new laptop could bring some positivity, depending on your needs.",neutral,finance
Should I use a calendar for tasks?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/558_sad_negative.wav,Using a calendar can certainly help you regain some control over things.,neutral,time_management
Is it a good day to go outside?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/559_sad_negative.wav,"I'm not sure where you are, but I hope you find some peace outside if you decide to go.",negative,weather
Should I use a calendar for tasks?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/560_sad_negative.wav,"Yes, using a calendar can help you organize your tasks effectively.",neutral,time_management
Can I manage my time better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/561_sad_negative.wav,"Yes, with structured planning, you absolutely can.",positive,time_management
Is buying a new laptop a good idea?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/562_sad_negative.wav,"Buying a new laptop can be a positive change, potentially lifting your spirits with new possibilities.",neutral,finance
Is switching careers realistic for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/563_sad_negative.wav,"It is realistic, but it requires careful planning and commitment.",neutral,career
Should I wake up early tomorrow?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/564_sad_negative.wav,"Waking up early could give you a gentle start to the day, if you feel up to it.",neutral,time_management
Can I hit my deadline?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/565_sad_negative.wav,It's possible with some focused effort and support.,negative,productivity
Should I go for a walk now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/566_sad_negative.wav,A walk might help lift your spirits a bit.,neutral,health_fitness
Do you think I can get a promotion?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/567_sad_negative.wav,"Your skills and hard work certainly show potential, so, yes, it's definitely possible.",neutral,career
Is learning to code useful for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/568_sad_negative.wav,"Yes, learning to code can boost your confidence and open new opportunities for you.",positive,technology
Is technology making life better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/569_sad_negative.wav,Technology can bring both comfort and new difficulties into our lives.,neutral,technology
Can I finish my tasks on time?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/570_sad_negative.wav,"I know things feel heavy right now, but yes, you have what it takes to finish.",neutral,productivity
Can I afford a vacation this year?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/571_sad_negative.wav,Determining that requires seeing your budget and expenses.,neutral,finance
Should I start working on my project now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/572_sad_negative.wav,Starting now might help you feel better by making progress.,neutral,productivity
Should I take an umbrella today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/573_sad_negative.wav,"You might want to grab one, just in case.",neutral,weather
Will I be productive today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/574_sad_negative.wav,"Your productivity depends on how you choose to start, but you have the power to make it happen.",negative,productivity
Is it worth cooking at home tonight?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/575_sad_negative.wav,Cooking a home can be a comforting way to care for yourself tonight.,neutral,health_fitness
Should I take an umbrella today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/576_sad_negative.wav,"It might be a good idea to take one, just in case.",negative,weather
Is technology making life better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/577_sad_negative.wav,"It offers convenience, but also introduces challenges like isolation.",neutral,technology
What's the weather like today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/578_sad_negative.wav,I can't tell without knowing your location.,negative,weather
Should I apply for that job?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/579_sad_negative.wav,"If getting that job would truly make you happier, then it's worth considering.",positive,career
Should I start working on my project now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/580_sad_negative.wav,Starting now might help ease your worries and give you a sense of progress.,positive,productivity
Is time-blocking effective?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/581_sad_negative.wav,"Yes, many find time-blocking very helpful for managing tasks.",positive,time_management
Should I start working on my project now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/582_sad_negative.wav,Starting now could be a small step to feeling better.,neutral,productivity
What's the weather like today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/583_sad_negative.wav,"I'm not sure where you are, but I hope it brightens up.",negative,weather
Can I hit my deadline?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/584_sad_negative.wav,Focusing on small steps can help you make progress right now.,neutral,productivity
Do you think I can pass this test?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/585_sad_negative.wav,I believe you have the strength and ability to succeed.,neutral,education
Is it worth planning my day?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/586_sad_negative.wav,Planning your day might help bring a little direction and comfort right now.,neutral,productivity
Will it rain later?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/587_sad_negative.wav,"I'm not sure, but I hope it clears up for you.",negative,weather
Should I start exercising?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/588_sad_negative.wav,Regular physical activity can significantly improve both your mood and physical health. This is not medical advice or a diagnosis; please see a healthcare professional for guidance.,neutral,health_fitness
Am I going to do well in my exam?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/589_sad_negative.wav,Focusing your efforts can help improve your chances and confidence for the exam.,neutral,education
Should I apply for that job?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/590_sad_negative.wav,"If it offers growth and aligns with your values, pursuing it could bring positive change.",positive,career
Is today going to be a good day?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/591_sad_negative.wav,I sincerely hope its difficulties ease for you soon.,negative,motivation
Is it worth making a to-do list?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/592_sad_negative.wav,"Yes, it can help you feel a little more organized and in control, even when things feel hard.",neutral,time_management
Should I keep trying?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/593_sad_negative.wav,"Your persistent effort matters, but considering your feelings also makes sense.",neutral,motivation
Can I learn a new skill this week?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/594_sad_negative.wav,"Yes, you can definitely learn something new this week. What skill are you interested in?",positive,education
Should I go for a walk now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/595_sad_negative.wav,"A gentle walk can sometimes help lift your spirits, so it might be a good idea if you feel up to it.",neutral,health_fitness
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/596_sad_negative.wav,"Your value isn't defined by one moment, and you're capable of finding your way through this.",neutral,motivation
Is it a good time to budget?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/597_sad_negative.wav,"Even when things feel tough, creating a budget can provide a sense of control and stability.",neutral,finance
Is it worth resolving this conflict?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/598_sad_negative.wav,"Addressing the conflict could bring peace, making it worth exploring for your well-being.",neutral,relationships
Is it worth taking that online course?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/599_sad_negative.wav,It could definitely be worthwhile for gaining new skills or pursuing a passion.,neutral,education
Can I manage my time better?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/600_sad_negative.wav,You can definitely develop better habits to improve time management.,neutral,time_management
Can I hit my deadline?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/601_sad_negative.wav,"I believe you can, just take it one step at a time.",,productivity
Is switching careers realistic for me?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/602_sad_negative.wav,"It's definitely realistic, and exploring options can be hopeful. What are you considering?",,career
Should I take an umbrella today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/603_sad_negative.wav,"You might want to, just in case it rains later.",,weather
Is it worth setting new goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/604_sad_negative.wav,"Yes, setting new goals can provide purpose and a sense of hope even when things feel tough.",,motivation
Should I start working on my project now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/605_sad_negative.wav,Starting now might help alleviate some pressure.,,productivity
Is it worth setting new goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/606_sad_negative.wav,"Yes, exploring new goals can bring hope and direction, even when things feel tough.",,motivation
Can I stick to a healthy diet?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/607_sad_negative.wav,"Yes, you can build lasting, healthy eating habits successfully. This is not medical advice or a diagnosis; see a healthcare professional for specific care.",,health_fitness
Is going to the gym a good idea today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/608_sad_negative.wav,"Physical activity can often help boost your mood, so it could be beneficial.",,health_fitness
Will I be productive today?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/609_sad_negative.wav,"Focusing on small, manageable tasks can help you achieve progress today.",,productivity
Should I try to save more money this month?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/610_sad_negative.wav,Saving more money can definitely provide more security and ease for you.,,finance
Is it worth making a to-do list?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/611_sad_negative.wav,"Yes, making a list can bring a small sense of control even when things are hard.",,time_management
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/612_sad_negative.wav,"You are valuable and doing your best, which is always enough.",,motivation
Can I stick to a healthy diet?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/613_sad_negative.wav,"Yes, you absolutely can maintain a healthy diet with planning and self-care. This is not medical advice or a diagnosis; please see a healthcare professional or seek care.",,health_fitness
Can I focus with all these notifications?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/614_sad_negative.wav,It's really hard to focus with constant distractions.,,technology
Is time-blocking effective?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/615_sad_negative.wav,"Yes, many find time-blocking to be a very effective way to manage their schedules. Are you thinking about trying it?",,time_management
Can I stick to a healthy diet?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/616_sad_negative.wav,You can definitely find a healthy eating plan that works for you. This is not medical advice or a diagnosis; please see a healthcare professional for care.,,health_fitness
Should I try to save more money this month?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/617_sad_negative.wav,Saving more could be a good way to feel more secure.,,finance
Can I afford a vacation this year?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/618_sad_negative.wav,"That depends on your budget, but planning far in advance could help.",,finance
Should I go for a walk now?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/619_sad_negative.wav,A gentle walk outside might really help lift your spirits.,,health_fitness
Am I doing okay in life?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/620_sad_negative.wav,"Your value isn't defined by a single moment, and you have the strength to keep going.",,motivation
Do you think I can achieve my goals?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/621_sad_negative.wav,"Yes, with belief and hard work, you can absolutely achieve your goals.",,motivation
Do you think I can pass this test?,sad,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/622_sad_negative.wav,I believe you have the ability to succeed with preparation.,,education
